mean_eval_return,seed,logdir,learning_rate,clip_range,gae_lambda,gamma,n_steps,ent_coef,vf_coef
3061.9030,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_010914,3e-05,0.1,0.95,0.98,2048,0.0004,0.5
3426.5610,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_011601,3e-05,0.1,0.95,0.98,2048,0.0004,1.0
3380.6284,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_012316,3e-05,0.1,0.95,0.98,2048,0.0001,0.5
3446.2932,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_012956,3e-05,0.1,0.95,0.98,2048,0.0001,1.0
3594.6900,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_020932,3e-05,0.1,0.95,0.99,2048,0.0004,0.5
3452.9900,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_023119,3e-05,0.1,0.95,0.99,2048,0.0004,1.0
3542.0815,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_023801,3e-05,0.1,0.95,0.99,2048,0.0001,0.5
2992.8821,42,logs_grid/lr3e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_024646,3e-05,0.1,0.95,0.99,2048,0.0001,1.0
3074.4566,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_025424,3e-05,0.1,0.98,0.98,2048,0.0004,0.5
3769.9250,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_030056,3e-05,0.1,0.98,0.98,2048,0.0004,1.0
3101.4703,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_030717,3e-05,0.1,0.98,0.98,2048,0.0001,0.5
3289.7281,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_031446,3e-05,0.1,0.98,0.98,2048,0.0001,1.0
3191.6585,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_032257,3e-05,0.1,0.98,0.99,2048,0.0004,0.5
3229.4038,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_034544,3e-05,0.1,0.98,0.99,2048,0.0004,1.0
3072.4336,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_043823,3e-05,0.1,0.98,0.99,2048,0.0001,0.5
3171.2981,42,logs_grid/lr3e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_044424,3e-05,0.1,0.98,0.99,2048,0.0001,1.0
3904.3672,42,logs_grid/lr3e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_045024,3e-05,0.2,0.95,0.98,2048,0.0004,0.5
2920.5955,42,logs_grid/lr3e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_045643,3e-05,0.2,0.95,0.98,2048,0.0004,1.0
1854.6967,42,logs_grid/lr3e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_050307,3e-05,0.2,0.95,0.98,2048,0.0001,0.5
3170.2487,42,logs_grid/lr3e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_050925,3e-05,0.2,0.95,0.98,2048,0.0001,1.0
